Date,Kind,Model,Max Mode,Input (w/ Cache Write),Input (w/o Cache Write),Cache Read,Output Tokens,Total Tokens,Cost
"2025-08-30T13:49:54.017Z","Included","auto","No","0","6149","0","85","6234","0.01"
"2025-08-30T12:04:47.260Z","Included","auto","No","0","6047","0","76","6123","0.01"
"2025-08-30T12:03:28.194Z","Included","auto","No","0","6550","0","93","6643","0.01"
"2025-08-29T10:54:58.916Z","Included","auto","No","0","7907","0","60","7967","0.02"
"2025-08-28T23:56:53.921Z","Included","auto","No","0","3913","0","37","3950","0.01"
"2025-08-28T23:47:28.808Z","Included","auto","No","0","209","5504","33","5746","0.003"
"2025-08-28T23:47:21.363Z","Included","auto","No","0","5623","0","32","5655","0.01"
"2025-08-22T13:04:54.966Z","Included","auto","No","3974","0","25142","212","29328","0.01"
"2025-08-22T10:57:15.629Z","Included","auto","No","8666","0","3568","297","12531","0.01"
"2025-08-22T10:11:52.890Z","Included","auto","No","35428","0","1395763","3471","1434662","0.40"
"2025-08-22T10:00:53.382Z","Included","auto","No","8321","0","86966","1040","96327","0.03"
"2025-08-22T09:58:36.443Z","Included","auto","No","0","8331","0","178","8509","0.02"
"2025-08-22T09:54:24.268Z","Included","auto","No","0","8078","0","178","8256","0.02"
"2025-08-22T09:53:53.810Z","Included","auto","No","0","246","1280","55","1581","0.002"
"2025-08-22T09:53:51.289Z","Included","auto","No","0","1390","0","44","1434","0.003"
"2025-08-22T09:53:34.863Z","Included","auto","No","0","1334","0","44","1378","0.003"
"2025-08-22T09:47:14.448Z","Included","auto","No","89248","36379","316393","2776","444796","0.18"
"2025-08-22T09:34:21.010Z","Included","auto","No","82015","0","4085922","23439","4191376","1.20"
"2025-08-22T09:31:45.980Z","Included","auto","No","12120","0","281528","5115","298763","0.10"
"2025-08-22T09:30:56.357Z","Errored, Not Charged","auto","No","11308","0","43994","115","55417","0.02"
"2025-08-22T09:24:26.716Z","Included","auto","No","3038","0","13530","483","17051","0.01"
"2025-08-22T09:20:37.071Z","Included","auto","No","10461","0","28191","403","39055","0.02"
"2025-08-22T00:15:53.412Z","Errored, Not Charged","auto","No","12946","0","3483","72","16501","0.01"
"2025-08-21T17:48:38.478Z","Included","auto","No","9318","0","680981","2321","692620","0.19"
"2025-08-21T17:44:27.826Z","Errored, Not Charged","auto","No","0","0","0","0","0","0.00"
"2025-08-21T17:31:53.455Z","Included","auto","No","0","0","0","0","0","0.00"
"2025-08-21T14:45:28.074Z","Included","auto","No","27607","0","136049","11221","174877","0.11"
"2025-08-21T14:43:39.608Z","Errored, Not Charged","auto","No","30525","0","297597","452","328574","0.11"
"2025-08-21T14:43:33.894Z","Errored, Not Charged","auto","No","22989","0","28854","150","51993","0.03"
"2025-08-21T13:34:00.338Z","Included","auto","No","5715","0","811609","2498","819822","0.22"
"2025-08-21T13:32:39.417Z","Included","auto","No","1196","0","386558","1654","389408","0.10"
"2025-08-21T13:31:42.572Z","Errored, Not Charged","auto","No","0","0","0","0","0","0.00"
"2025-08-21T13:26:44.279Z","Included","auto","No","37335","0","607871","6244","651450","0.21"
"2025-08-21T13:19:05.940Z","Included","auto","No","49383","0","249752","8666","307801","0.15"
"2025-08-21T10:12:32.095Z","Included","auto","No","694","0","18234","604","19532","0.01"
"2025-08-21T10:10:19.074Z","Included","auto","No","507","0","17728","580","18815","0.01"
