.claude
Date,Start Time,End Time,Total
2025-07-28,19:00,20:00,1.00

DSS
Date,Start Time,End Time,Total
2025-06-02,16:00,16:30,0.50
2025-06-05,23:15,23:45,0.50
2025-06-06,10:00,10:15,0.25

Haruspex
Date,Start Time,End Time,Total
2025-08-13,20:00,01:30,5.50

Phoenix
Date,Start Time,End Time,Total
2025-07-28,16:30,17:15,0.75

Phoenix-Reorg
Date,Start Time,End Time,Total
2025-07-29,15:30,17:30,2.00
2025-07-29,18:30,19:15,0.75
2025-07-30,22:15,22:45,0.50
2025-07-30,23:45,00:30,0.75
2025-07-31,02:00,02:30,0.50
2025-08-01,15:30,18:00,2.50

QRMaker
Date,Start Time,End Time,Total
2025-07-23,14:15,14:30,0.25
2025-07-23,16:45,17:30,0.75

Templum
Date,Start Time,End Time,Total
2025-09-12,17:30,20:45,3.25
2025-09-13,03:15,04:30,1.25
2025-09-13,10:30,13:30,3.00

VDL_Vault
Date,Start Time,End Time,Total
2025-08-12,13:00,20:45,7.75
2025-08-12,22:00,00:45,2.75
2025-08-13,09:45,16:30,6.75
2025-08-14,07:15,15:00,7.75
2025-08-14,17:15,00:30,7.25
2025-08-15,10:15,12:15,2.00
2025-08-15,16:00,23:00,7.00
2025-08-19,09:00,13:15,4.25
2025-08-19,16:00,20:00,4.00
2025-08-20,16:15,19:30,3.25
2025-08-20,21:30,02:00,4.50
2025-08-21,09:45,16:45,7.00
2025-08-21,18:30,20:30,2.00
2025-08-21,22:00,01:30,3.50
2025-08-22,10:00,17:30,7.50
2025-08-22,19:45,22:30,2.75
2025-08-23,07:00,15:30,8.50
2025-08-27,09:00,15:45,6.75
2025-08-27,19:00,23:45,4.75
2025-08-28,09:00,11:15,2.25
2025-08-28,13:45,16:00,2.25
2025-08-28,17:15,18:15,1.00
2025-08-28,19:30,02:30,7.00
2025-08-29,09:15,13:15,4.00
2025-08-29,16:30,01:45,9.25
2025-08-30,10:00,02:15,16.25
2025-08-31,08:45,10:15,1.50
2025-08-31,11:30,12:00,0.50
2025-08-31,18:00,18:45,0.75
2025-08-31,20:30,01:15,4.75
2025-09-01,08:30,14:30,6.00
2025-09-01,17:15,00:00,6.75
2025-09-02,08:30,00:15,15.75
2025-09-03,09:15,10:30,1.25
2025-09-03,11:45,15:45,4.00
2025-09-03,16:45,00:15,7.50
2025-09-04,08:30,20:45,12.25
2025-09-04,22:00,00:00,2.00
2025-09-05,07:30,09:00,1.50
2025-09-05,12:30,14:30,2.00
2025-09-05,17:30,19:00,1.50
2025-09-05,22:30,03:00,4.50
2025-09-06,08:00,14:00,6.00
2025-09-06,15:15,17:15,2.00
2025-09-06,19:00,21:30,2.50
2025-09-07,16:30,18:00,1.50
2025-09-07,19:15,02:00,6.75
2025-09-09,12:45,14:30,1.75
2025-09-09,16:15,18:00,1.75
2025-09-09,20:45,01:45,5.00
2025-09-10,09:30,14:15,4.75
2025-09-10,22:45,03:30,4.75
2025-09-11,12:15,13:45,1.50
2025-09-11,19:00,02:00,7.00
2025-09-12,08:30,14:00,5.50
2025-09-13,15:30,18:15,2.75
2025-09-13,22:45,02:00,3.25
2025-09-14,12:00,14:00,2.00
2025-09-14,15:30,16:30,1.00

phoenix-code-lite
Date,Start Time,End Time,Total
2025-07-31,23:15,23:45,0.50
2025-08-01,11:45,12:00,0.25
2025-08-01,21:00,22:15,1.25
2025-08-02,11:45,14:00,2.25
2025-08-02,18:00,18:45,0.75
2025-08-03,14:00,17:45,3.75
2025-08-03,19:30,01:15,5.75
2025-08-04,09:00,13:15,4.25
2025-08-04,14:45,15:30,0.75
2025-08-06,11:00,11:30,0.50
2025-08-06,20:15,00:45,4.50

scripts
Date,Start Time,End Time,Total
2025-08-06,15:45,16:15,0.50
2025-09-08,12:30,13:15,0.75

trial-run
Date,Start Time,End Time,Total
2025-09-08,11:00,11:30,0.50

usage-events-2025-07-02
Date,Start Time,End Time,Total
2025-07-14,11:30,13:00,1.50
2025-07-14,14:15,16:30,2.25
2025-07-15,10:45,14:30,3.75
2025-07-16,15:15,16:15,1.00
2025-07-16,17:15,17:45,0.50
2025-07-17,11:15,12:45,1.50
2025-07-17,16:45,18:00,1.25
2025-07-18,12:30,17:00,4.50
2025-07-21,12:15,14:15,2.00
2025-07-21,15:30,18:15,2.75
2025-07-24,13:45,17:15,3.50
2025-07-25,12:30,13:00,0.50
2025-07-25,14:30,15:00,0.50
2025-07-25,17:15,19:00,1.75
2025-07-28,21:45,22:30,0.75
2025-07-30,17:45,19:00,1.25

usage-events-2025-08-1
Date,Start Time,End Time,Total
2025-08-04,16:45,18:45,2.00
2025-08-05,08:45,09:45,1.00
2025-08-05,11:30,11:45,0.25
2025-08-05,15:15,16:15,1.00

validation
Date,Start Time,End Time,Total
2025-09-11,15:45,17:15,1.50

